_key,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
162,162,AINC,Ashford Inc.,Financial,Asset Management,USA,48.57M,-,16.30,-4.23%,"8,464"
163,163,IHT,InnSuites Hospitality Trust,Real Estate,REIT - Hotel & Motel,USA,47.95M,-,5.34,1.71%,"148,458"
164,164,CEI,"Camber Energy, Inc.",Energy,Oil & Gas E&P,USA,46.91M,-,0.44,-4.42%,"7,947,838"
165,165,MYO,"Myomo, Inc.",Healthcare,Medical Devices,USA,46.43M,-,7.91,-2.47%,"28,480"
166,166,BWL-A,Bowl America Incorporated,Consumer Cyclical,Leisure,USA,45.63M,-,8.98,-1.42%,822
167,167,AMBO,Ambow Education Holding Ltd.,Consumer Defensive,Education & Training Services,China,43.93M,-,1.56,-6.59%,"229,591"
168,168,ITP,"IT Tech Packaging, Inc.",Basic Materials,Paper & Paper Products,China,42.15M,-,0.41,-0.86%,"11,519,128"
169,169,AIRI,Air Industries Group,Industrials,Aerospace & Defense,USA,40.97M,-,1.24,0.81%,"384,898"
170,170,CVU,"CPI Aerostructures, Inc.",Industrials,Aerospace & Defense,USA,40.51M,-,3.31,-1.19%,"14,894"
171,171,ESP,Espey Mfg. & Electronics Corp.,Industrials,Electrical Equipment & Parts,USA,39.84M,-,14.70,-1.94%,"9,209"
172,172,DXR,Daxor Corporation,Financial,Asset Management,USA,38.50M,-,9.30,-3.62%,"5,397"
173,173,INDO,Indonesia Energy Corporation Limited,Energy,Oil & Gas E&P,Indonesia,37.60M,-,4.98,-6.21%,"4,136"
174,174,IMH,"Impac Mortgage Holdings, Inc.",Financial,Mortgage Finance,USA,37.42M,-,1.76,-3.55%,"34,820"
175,175,NES,"Nuverra Environmental Solutions, Inc.",Industrials,Waste Management,USA,36.40M,-,2.15,-2.71%,"2,994"
176,176,TMBR,"Timber Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,35.90M,-,0.94,-3.86%,"544,110"
177,177,XPL,Solitario Zinc Corp.,Basic Materials,Other Industrial Metals & Mining,USA,35.64M,-,0.57,-0.88%,"509,864"
178,178,CANF,Can-Fite BioPharma Ltd.,Healthcare,Biotechnology,Israel,35.07M,-,2.04,-3.32%,"190,507"
179,179,KIQ,Kelso Technologies Inc.,Industrials,Railroads,Canada,34.75M,-,0.64,0.72%,"961,006"
180,180,PZG,Paramount Gold Nevada Corp.,Basic Materials,Gold,USA,34.72M,-,0.89,-1.39%,"26,614"
181,181,DXF,Dunxin Financial Holdings Limited,Financial,Credit Services,China,34.37M,13.56,1.60,-2.44%,"69,635"
182,182,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,32.40M,-,15.50,-4.45%,"15,516"
183,183,CPHI,"China Pharma Holdings, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,China,31.17M,-,0.70,0.30%,"935,900"
184,184,PLAG,Planet Green Holdings Corp.,Consumer Defensive,Packaged Foods,USA,29.22M,-,1.33,-0.75%,"19,262"
